DateTime,Temperature,Temperature_range (low),Temperature_range (high)
9/10/2016 00:00,10.66,7.2,13.8
10/10/2016 00:00,8.94,5.6,12.8
11/10/2016 00:00,8.69,5.3,14.3
12/10/2016 00:00,11.55,9,14.9
13/10/2016 00:00,9.4,6,13.3
14/10/2016 00:00,9.85,6.8,13.3
15/10/2016 00:00,10.72,8.2,14.7
16/10/2016 00:00,11.28,7.8,14.5
17/10/2016 00:00,11.84,10,15
18/10/2016 00:00,10.24,8.2,12.7
19/10/2016 00:00,10.2,8,13.4
20/10/2016 00:00,9.76,7.2,12.8
21/10/2016 00:00,7.96,3.7,15.1
22/10/2016 00:00,7.9,5.3,13
23/10/2016 00:00,8.35,4.8,12.6
24/10/2016 00:00,9.14,8,10.1
25/10/2016 00:00,10.11,8.9,12.3
26/10/2016 00:00,10.79,8.4,13.5
27/10/2016 00:00,11.1,7.8,14.7
28/10/2016 00:00,13.28,11.5,15.3
29/10/2016 00:00,12.66,12.2,13.5
30/10/2016 00:00,12.45,9.1,14.9
31/10/2016 00:00,10.97,9,16.4
1/11/2016 00:00,9.58,7,11.7
2/11/2016 00:00,6.51,3.1,11.4
3/11/2016 00:00,6.8,2.2,11
4/11/2016 00:00,7.53,3.2,12.4
5/11/2016 00:00,5.2,2.1,8.7
6/11/2016 00:00,3.83,0.5,8.2
7/11/2016 00:00,4.29,0.9,9.1
8/11/2016 00:00,4.45,0.5,7.3
9/11/2016 00:00,7.02,4.9,9.5
10/11/2016 00:00,7.47,5.9,10.7
11/11/2016 00:00,5.7,2.4,8.1
12/11/2016 00:00,10.16,7.9,12.6
13/11/2016 00:00,7.68,4.5,10.6
14/11/2016 00:00,11.14,8.2,12.6
15/11/2016 00:00,12.83,12.2,14.1
16/11/2016 00:00,10.52,8.2,12.4
17/11/2016 00:00,6.96,3.8,9.9
18/11/2016 00:00,3.53,2,5.1
19/11/2016 00:00,3.74,1.1,5.5
20/11/2016 00:00,4.68,2.5,5.6
21/11/2016 00:00,6.27,4.3,8.6
22/11/2016 00:00,6.61,6,7.7
23/11/2016 00:00,6.23,5.2,7.6
24/11/2016 00:00,7.77,5,9
25/11/2016 00:00,5.11,3.2,8.2
26/11/2016 00:00,5.47,4.5,7.5
27/11/2016 00:00,5.72,3.9,7.7
28/11/2016 00:00,5.16,1.4,7.4
29/11/2016 00:00,0.55,-1.6,3.8
30/11/2016 00:00,-1.81,-4.1,1.6
1/12/2016 00:00,-1.26,-4,3
2/12/2016 00:00,2.46,-0.2,4.4
3/12/2016 00:00,4.22,1.3,6.3
4/12/2016 00:00,2.12,0.3,4.9
5/12/2016 00:00,2.88,1,5.1
6/12/2016 00:00,7.45,4.9,9.6
7/12/2016 00:00,10.74,8.8,13
8/12/2016 00:00,12.44,11.8,13.2
9/12/2016 00:00,12.01,11,13.1
10/12/2016 00:00,9.84,5.6,11.5
11/12/2016 00:00,5.92,3.3,9.2
12/12/2016 00:00,7,2,10.9
13/12/2016 00:00,10.19,6.5,12.1
14/12/2016 00:00,8.9,7.2,10.9
15/12/2016 00:00,9.32,8.2,10.7
16/12/2016 00:00,7.18,4.6,8.7
18/12/2016 00:00,6.01,5.6,6.3
19/12/2016 00:00,5.94,5.1,6.9
20/12/2016 00:00,4.85,3.2,6.1
21/12/2016 00:00,7.45,4,9.7
22/12/2016 00:00,4.84,1.7,7.9
23/12/2016 00:00,7.89,4.9,10.8
24/12/2016 00:00,7.98,3.9,9.9
25/12/2016 00:00,11.17,9.5,13
26/12/2016 00:00,5.77,2.1,10.9
27/12/2016 00:00,1.49,-0.9,4.2
28/12/2016 00:00,1.12,-0.4,5.2
29/12/2016 00:00,1.16,-1.5,4.4
30/12/2016 00:00,2.95,-1.4,6.3
31/12/2016 00:00,6.53,5,7.9
1/1/2017 00:00,4.9,0.5,7.5
2/1/2017 00:00,0.48,-1.4,2.6
3/1/2017 00:00,1.14,-2,4.6
4/1/2017 00:00,4.27,0.2,7.8
5/1/2017 00:00,-0.76,-2.5,1.5
6/1/2017 00:00,4.04,-1.6,8.1
7/1/2017 00:00,9.18,8.1,10.5
8/1/2017 00:00,8.7,7.1,9.7
9/1/2017 00:00,7.02,4,8.9
10/1/2017 00:00,6.8,4.7,8.5
11/1/2017 00:00,8.07,5.6,10.2
12/1/2017 00:00,3.83,0.6,6
13/1/2017 00:00,2.42,0.4,5.4
14/1/2017 00:00,3.58,0.6,7
15/1/2017 00:00,7.33,4.3,9.6
16/1/2017 00:00,8.56,6.4,9.4
17/1/2017 00:00,5.11,4.6,6.3
18/1/2017 00:00,4.15,1.5,6.2
19/1/2017 00:00,2.51,0.1,6.4
20/1/2017 00:00,1.22,-0.8,6.3
21/1/2017 00:00,-0.07,-2.4,3.8
22/1/2017 00:00,2.35,-0.8,6.9
23/1/2017 00:00,2.85,0.5,9
24/1/2017 00:00,2.68,-1.3,7.9
25/1/2017 00:00,3.14,1.4,4.8
26/1/2017 00:00,1.17,-0.9,2.5
27/1/2017 00:00,3.71,-0.9,6.2
28/1/2017 00:00,5.28,3.4,7
29/1/2017 00:00,5.79,1.3,9.2
30/1/2017 00:00,8.04,7.1,8.6
31/1/2017 00:00,9.68,7.4,11.4
1/2/2017 00:00,9.37,8.3,10.5
2/2/2017 00:00,10.16,8.5,11.2
