DateTime,mm
9/10/2016 00:00,0
10/10/2016 00:00,0
11/10/2016 00:00,0
12/10/2016 00:00,0
13/10/2016 00:00,0
14/10/2016 00:00,1.1
15/10/2016 00:00,2.1
16/10/2016 00:00,8.4
17/10/2016 00:00,1.1
18/10/2016 00:00,3.1
19/10/2016 00:00,0
20/10/2016 00:00,0
21/10/2016 00:00,0
22/10/2016 00:00,0
23/10/2016 00:00,0
24/10/2016 00:00,7.4
25/10/2016 00:00,2.1
26/10/2016 00:00,0
27/10/2016 00:00,0
28/10/2016 00:00,0
29/10/2016 00:00,0
30/10/2016 00:00,0
31/10/2016 00:00,0
1/11/2016 00:00,0
2/11/2016 00:00,0
3/11/2016 00:00,0
4/11/2016 00:00,3.2
5/11/2016 00:00,0
6/11/2016 00:00,0
7/11/2016 00:00,0
8/11/2016 00:00,7.3
9/11/2016 00:00,7.4
10/11/2016 00:00,0
11/11/2016 00:00,0
12/11/2016 00:00,5.3
13/11/2016 00:00,0
14/11/2016 00:00,0
15/11/2016 00:00,2.1
16/11/2016 00:00,1
17/11/2016 00:00,17.9
18/11/2016 00:00,4.2
19/11/2016 00:00,5.3
20/11/2016 00:00,13.7
21/11/2016 00:00,23.2
22/11/2016 00:00,0
23/11/2016 00:00,0
24/11/2016 00:00,0
25/11/2016 00:00,0
26/11/2016 00:00,0
27/11/2016 00:00,0
28/11/2016 00:00,0
29/11/2016 00:00,0
30/11/2016 00:00,0
1/12/2016 00:00,0
2/12/2016 00:00,0
3/12/2016 00:00,0
4/12/2016 00:00,0
5/12/2016 00:00,0
6/12/2016 00:00,1
7/12/2016 00:00,0
8/12/2016 00:00,0
9/12/2016 00:00,0
10/12/2016 00:00,17.9
11/12/2016 00:00,0
12/12/2016 00:00,1.1
13/12/2016 00:00,4.2
14/12/2016 00:00,0
15/12/2016 00:00,0
16/12/2016 00:00,0
18/12/2016 00:00,0
19/12/2016 00:00,0
20/12/2016 00:00,1
21/12/2016 00:00,1.1
22/12/2016 00:00,1.1
23/12/2016 00:00,0
24/12/2016 00:00,0
25/12/2016 00:00,1
26/12/2016 00:00,0
27/12/2016 00:00,0
28/12/2016 00:00,0
29/12/2016 00:00,0
30/12/2016 00:00,0
31/12/2016 00:00,0
1/1/2017 00:00,9.5
2/1/2017 00:00,0
3/1/2017 00:00,0
4/1/2017 00:00,0
5/1/2017 00:00,0
6/1/2017 00:00,2.1
7/1/2017 00:00,0
8/1/2017 00:00,0
9/1/2017 00:00,2.1
10/1/2017 00:00,0
11/1/2017 00:00,0
12/1/2017 00:00,7.3
13/1/2017 00:00,0
14/1/2017 00:00,0
15/1/2017 00:00,2.2
16/1/2017 00:00,1
17/1/2017 00:00,0
18/1/2017 00:00,0
19/1/2017 00:00,0
20/1/2017 00:00,0
21/1/2017 00:00,0
22/1/2017 00:00,0
23/1/2017 00:00,0
24/1/2017 00:00,0
25/1/2017 00:00,0
26/1/2017 00:00,0
27/1/2017 00:00,1
28/1/2017 00:00,0
29/1/2017 00:00,8.5
30/1/2017 00:00,1.1
31/1/2017 00:00,1.1
1/2/2017 00:00,5.3
2/2/2017 00:00,4.2
3/2/2017 00:00,3.2
4/2/2017 00:00,1
5/2/2017 00:00,0
6/2/2017 00:00,0
7/2/2017 00:00,2.1
8/2/2017 00:00,0
9/2/2017 00:00,1
10/2/2017 00:00,0
11/2/2017 00:00,0
12/2/2017 00:00,0
13/2/2017 00:00,0
14/2/2017 00:00,0
15/2/2017 00:00,1.1
16/2/2017 00:00,0
17/2/2017 00:00,0
18/2/2017 00:00,0
19/2/2017 00:00,0
20/2/2017 00:00,0
21/2/2017 00:00,1
22/2/2017 00:00,0
23/2/2017 00:00,1.1
24/2/2017 00:00,0
25/2/2017 00:00,3.2
26/2/2017 00:00,2.1
27/2/2017 00:00,6.3
28/2/2017 00:00,1
1/3/2017 00:00,2.1
2/3/2017 00:00,0
3/3/2017 00:00,1.1
4/3/2017 00:00,3.2
5/3/2017 00:00,5.2
6/3/2017 00:00,0
7/3/2017 00:00,1.1
8/3/2017 00:00,1
9/3/2017 00:00,0
10/3/2017 00:00,0
11/3/2017 00:00,0
12/3/2017 00:00,2.1
13/3/2017 00:00,0
14/3/2017 00:00,0
15/3/2017 00:00,0
16/3/2017 00:00,0
17/3/2017 00:00,0
